outcome,contrast,model,n_cases,n_obs,rr_ci,rr,lci,uci,n_imps
Definite IH,Low stage vs none,crude,700,40700,"1.48 (1.20, 1.82)",1.4802626511952672,1.2030484281246874,1.8213543738544677,20
Definite IH,Low stage vs none,adjusted,700,40700,"1.30 (1.06, 1.60)",1.3025989306784278,1.058099617003765,1.603595679402411,20
Definite IH,Low stage vs none,adjusted+IPW,700,40700,"1.32 (1.07, 1.62)",1.3175041479179868,1.0699464676921058,1.622340212520436,20
Definite IH,Low stage vs none,adjusted+site+IPW,700,40700,"1.25 (1.02, 1.54)",1.2547372390490361,1.0193172165087754,1.5445295277643767,20
Definite IH,High stage vs none,crude,700,40700,"1.02 (0.80, 1.30)",1.0216070090631038,0.8041689118806924,1.2978378864783853,20
Definite IH,High stage vs none,adjusted,700,40700,"1.07 (0.85, 1.37)",1.0747120272631132,0.8460766731427971,1.3651315279189287,20
Definite IH,High stage vs none,adjusted+IPW,700,40700,"1.07 (0.84, 1.36)",1.0682101714189545,0.8401884045418844,1.3581155894969608,20
Definite IH,High stage vs none,adjusted+site+IPW,700,40700,"1.00 (0.78, 1.28)",1.0003787033454434,0.7835820192180093,1.2771573690598923,20
Definite IH,Per one-stage increase (trend),crude,700,40700,"1.08 (0.98, 1.20)",1.082455884818408,0.9784738583482416,1.1974880397479026,20
Definite IH,Per one-stage increase (trend),adjusted,700,40700,"1.08 (0.98, 1.20)",1.083425225142313,0.9763298690153114,1.202268060956213,20
Definite IH,Per one-stage increase (trend),adjusted+IPW,700,40700,"1.08 (0.97, 1.20)",1.0805559734853762,0.9735945406131786,1.1992684460818395,20
Definite IH,Per one-stage increase (trend),adjusted+site+IPW,700,40700,"1.04 (0.94, 1.16)",1.0440904617252942,0.9391401088201315,1.1607691781317835,20
Suspect = present,Low stage vs none,crude,930,40700,"1.45 (1.21, 1.74)",1.4515593619465597,1.2114641932566281,1.7392380170895947,20
Suspect = present,Low stage vs none,adjusted,930,40700,"1.27 (1.06, 1.52)",1.2657741164581697,1.056282559689161,1.5168139426319274,20
Suspect = present,Low stage vs none,adjusted+IPW,930,40700,"1.28 (1.06, 1.53)",1.2751928415794633,1.0639263106463444,1.5284111004150525,20
Suspect = present,Low stage vs none,adjusted+site+IPW,930,40700,"1.19 (0.99, 1.42)",1.1878594728266987,0.9917095959922213,1.4228057617738226,20
Suspect = present,High stage vs none,crude,930,40700,"1.06 (0.86, 1.30)",1.0575476131411832,0.8622932628915978,1.2970146030251577,20
Suspect = present,High stage vs none,adjusted,930,40700,"1.09 (0.89, 1.34)",1.0943484980506992,0.892497493580671,1.3418509786297486,20
Suspect = present,High stage vs none,adjusted+IPW,930,40700,"1.08 (0.88, 1.33)",1.0807228926978407,0.8807525434656707,1.3260954844426318,20
Suspect = present,High stage vs none,adjusted+site+IPW,930,40700,"1.00 (0.81, 1.23)",1.0003559709658134,0.81207995385551,1.2322826882942708,20
Suspect = present,Per one-stage increase (trend),crude,930,40700,"1.09 (1.00, 1.19)",1.0921093925738763,1.0007766481011644,1.1917773337448174,20
Suspect = present,Per one-stage increase (trend),adjusted,930,40700,"1.08 (0.99, 1.19)",1.0842605242277712,0.9910461588331053,1.1862423096245094,20
Suspect = present,Per one-stage increase (trend),adjusted+IPW,930,40700,"1.08 (0.99, 1.18)",1.0782324608527893,0.9854330450561072,1.179770909316795,20
Suspect = present,Per one-stage increase (trend),adjusted+site+IPW,930,40700,"1.03 (0.94, 1.13)",1.0327238390056768,0.9420977303417942,1.1320678240713824,20
