outcome,exposure,stratum,n_cases,n_obs,rr_ci,rr,lci,uci
Definite IH,MVM any vs none,Boston (site 5),290,9660,"1.11 (0.87, 1.42)",1.1139183475609769,0.8718336554347776,1.4232234294903325
Definite IH,MVM any vs none,Other 11 sites (+ site),410,31040,"1.14 (0.90, 1.44)",1.1377371525199333,0.8989440686969993,1.4399625886629834
Definite IH,MVM any vs none,All sites (primary),700,40700,"1.14 (0.96, 1.35)",1.1405066756046487,0.9623001148470063,1.3517149764713179
Definite IH,MVM score (continuous),Boston (site 5),290,9660,"1.01 (0.88, 1.16)",1.0100602864608963,0.8785871492435207,1.161207266876026
Definite IH,MVM score (continuous),Other 11 sites (+ site),410,31040,"1.07 (0.96, 1.20)",1.072189267270324,0.9592233926876695,1.198458913338855
Definite IH,MVM score (continuous),All sites (primary),700,40700,"1.05 (0.97, 1.15)",1.0531336229883546,0.96588703972986,1.148261010085371
Definite IH,AI any vs none,Boston (site 5),290,9660,"1.28 (1.00, 1.63)",1.2760928271018204,1.000809465921856,1.6270958247589795
Definite IH,AI any vs none,Other 11 sites (+ site),410,31040,"1.03 (0.82, 1.31)",1.032261197334138,0.8150486373746701,1.3073614636716198
Definite IH,AI any vs none,All sites (primary),700,40700,"1.14 (0.96, 1.35)",1.137723870345462,0.9615183238710222,1.3462204234887676
Suspect = present,MVM any vs none,Boston (site 5),425,9660,"1.13 (0.93, 1.38)",1.1320779455854082,0.925766770785409,1.38436646823431
Suspect = present,MVM any vs none,Other 11 sites (+ site),505,31040,"1.10 (0.90, 1.36)",1.104330862953403,0.8971850782002917,1.359303319352744
Suspect = present,MVM any vs none,All sites (primary),930,40700,"1.13 (0.98, 1.30)",1.128067951111515,0.9762766557559907,1.303459726115778
Suspect = present,MVM score (continuous),Boston (site 5),425,9660,"1.03 (0.92, 1.15)",1.027074272217185,0.9164941825208471,1.1509964610456929
Suspect = present,MVM score (continuous),Other 11 sites (+ site),505,31040,"1.04 (0.94, 1.16)",1.0449292982574083,0.9449382795888434,1.1555011178421217
Suspect = present,MVM score (continuous),All sites (primary),930,40700,"1.04 (0.96, 1.12)",1.0399957604808951,0.9647688376886329,1.1210884302704909
Suspect = present,AI any vs none,Boston (site 5),425,9660,"1.24 (1.01, 1.51)",1.2382590870702626,1.0141606693840655,1.5118763850734784
Suspect = present,AI any vs none,Other 11 sites (+ site),505,31040,"0.98 (0.79, 1.22)",0.9827375895025465,0.794062189879093,1.2162437427833301
Suspect = present,AI any vs none,All sites (primary),930,40700,"1.10 (0.95, 1.27)",1.1021608516009287,0.9533387600088885,1.2742149944583798
