outcome,analysis_type,exposure,model,term,original,corrected,n_cases,n_obs
V1 definite,crude,AI any vs none,crude,ai_num,"1.25 (1.05, 1.47)","1.25 (1.06, 1.47)",700,40700
V1 definite,crude,MVM any vs none,crude,mvm2_num,"1.22 (1.04, 1.43)","1.22 (1.05, 1.43)",700,40700
V1 definite,crude,MVM score (continuous),crude,mvm_num,"1.09 (1.01, 1.18)","1.09 (1.01, 1.18)",700,40700
V1 definite,primary,AI any vs none,adjusted,ai1,"1.20 (1.01, 1.41)","1.20 (1.01, 1.42)",700,40700
V1 definite,primary,AI any vs none,adjusted+IPW,ai1,"1.20 (1.02, 1.42)","1.20 (1.02, 1.42)",700,40700
V1 definite,primary,MVM any vs none,adjusted,mvm21,"1.25 (1.07, 1.47)","1.26 (1.07, 1.47)",700,40700
V1 definite,primary,MVM any vs none,adjusted+IPW,mvm21,"1.25 (1.07, 1.46)","1.25 (1.07, 1.46)",700,40700
V1 definite,primary,MVM score (continuous),adjusted,mvm,"1.12 (1.04, 1.22)","1.12 (1.04, 1.22)",700,40700
V1 definite,primary,MVM score (continuous),adjusted+IPW,mvm,"1.12 (1.03, 1.21)","1.12 (1.03, 1.21)",700,40700
V1 definite,site,AI any vs none,adjusted+site,ai1,"1.13 (0.96, 1.34)","1.13 (0.96, 1.34)",700,40700
V1 definite,site,AI any vs none,adjusted+site+IPW,ai1,"1.14 (0.96, 1.35)","1.14 (0.96, 1.35)",700,40700
V1 definite,site,MVM any vs none,adjusted+site,mvm21,"1.14 (0.96, 1.35)","1.14 (0.96, 1.35)",700,40700
V1 definite,site,MVM any vs none,adjusted+site+IPW,mvm21,"1.14 (0.96, 1.35)","1.14 (0.96, 1.35)",700,40700
V1 definite,site,MVM score (continuous),adjusted+site,mvm,"1.06 (0.97, 1.15)","1.06 (0.97, 1.15)",700,40700
V1 definite,site,MVM score (continuous),adjusted+site+IPW,mvm,"1.05 (0.97, 1.15)","1.05 (0.97, 1.15)",700,40700
V1 definite,supplemental,AI stage (3-level),adjusted,ai3High,"1.07 (0.85, 1.36)","1.07 (0.85, 1.37)",700,40700
V1 definite,supplemental,AI stage (3-level),adjusted,ai3Low,"1.30 (1.06, 1.60)","1.30 (1.06, 1.60)",700,40700
V1 definite,supplemental,AI stage (3-level),adjusted+IPW,ai3High,"1.07 (0.84, 1.36)","1.07 (0.84, 1.36)",700,40700
V1 definite,supplemental,AI stage (3-level),adjusted+IPW,ai3Low,"1.32 (1.07, 1.62)","1.32 (1.07, 1.63)",700,40700
V1 definite,supplemental,MVM grade (3-level),adjusted,mvm3High,"1.30 (0.92, 1.84)","1.30 (0.91, 1.84)",700,40700
V1 definite,supplemental,MVM grade (3-level),adjusted,mvm3Low,"1.25 (1.06, 1.47)","1.25 (1.06, 1.47)",700,40700
