measure,Original (01-05),Corrected (07-10)
pregnancies,"45,296","45,268"
observed_ih_outcome,"89.9% (40,719/45,296)","89.9% (40,700/45,268)"
used_in_adjusted_models,"40,683","40,700"
definite_ih,"1.7% (701/40,719)","1.7% (700/40,700)"
ih_incl_suspect,"2.3% (931/40,719)","2.3% (930/40,700)"
mvm_any,"29.0% (13,135/45,296)","29.0% (13,119/45,268)"
ai_any,"22.5% (10,194/45,294)","22.5% (10,188/45,268)"
chronic_htn,"3.9% (1,753/45,289)","5.8% (2,640/45,261)"
died_before_1y,"4.1% (1,841/45,296)","4.1% (1,834/45,268)"
lost_to_follow_up,"6.0% (2,736/45,296)","6.0% (2,734/45,268)"
