exposure,outcome,model,variable,level,n_cases,n_obs,ih_pct
MVM any vs none,ih1,crude,mvm2_num,0,475,29376,"1.6% (475/29,376)"
MVM any vs none,ih1,crude,mvm2_num,1,225,11324,"2.0% (225/11,324)"
AI any vs none,ih1,crude,ai_num,0,519,31820,"1.6% (519/31,820)"
AI any vs none,ih1,crude,ai_num,1,181,8880,"2.0% (181/8,880)"
MVM any vs none,ih1,adjusted,mvm2,0,475,29376,"1.6% (475/29,376)"
MVM any vs none,ih1,adjusted,mvm2,1,225,11324,"2.0% (225/11,324)"
AI any vs none,ih1,adjusted,ai,0,519,31820,"1.6% (519/31,820)"
AI any vs none,ih1,adjusted,ai,1,181,8880,"2.0% (181/8,880)"
MVM any vs none,ih1,adjusted+site,mvm2,0,475,29376,"1.6% (475/29,376)"
MVM any vs none,ih1,adjusted+site,mvm2,1,225,11324,"2.0% (225/11,324)"
AI any vs none,ih1,adjusted+site,ai,0,519,31820,"1.6% (519/31,820)"
AI any vs none,ih1,adjusted+site,ai,1,181,8880,"2.0% (181/8,880)"
MVM grade (3-level),ih1,adjusted,mvm3,High,33,1768,"1.9% (33/1,768)"
MVM grade (3-level),ih1,adjusted,mvm3,Low,192,9556,"2.0% (192/9,556)"
MVM grade (3-level),ih1,adjusted,mvm3,None,475,29376,"1.6% (475/29,376)"
AI stage (3-level),ih1,adjusted,ai3,High,75,4504,"1.7% (75/4,504)"
AI stage (3-level),ih1,adjusted,ai3,Low,106,4376,"2.4% (106/4,376)"
AI stage (3-level),ih1,adjusted,ai3,None,519,31820,"1.6% (519/31,820)"
MVM x AI interaction,ih1,adjusted,mvm2,0,475,29376,"1.6% (475/29,376)"
MVM x AI interaction,ih1,adjusted,mvm2,1,225,11324,"2.0% (225/11,324)"
MVM x AI interaction,ih1,adjusted,ai,0,519,31820,"1.6% (519/31,820)"
MVM x AI interaction,ih1,adjusted,ai,1,181,8880,"2.0% (181/8,880)"
Tumor (possible chorangioma),ih1,adjusted,chorangioma,0,695,40480,"1.7% (695/40,480)"
Tumor (possible chorangioma),ih1,adjusted,chorangioma,1,4,66,6.1% (4/66)
MVM any vs none,ih1,adjusted+IPW,mvm2,0,475,29376,"1.6% (475/29,376)"
MVM any vs none,ih1,adjusted+IPW,mvm2,1,225,11324,"2.0% (225/11,324)"
AI any vs none,ih1,adjusted+IPW,ai,0,519,31820,"1.6% (519/31,820)"
AI any vs none,ih1,adjusted+IPW,ai,1,181,8880,"2.0% (181/8,880)"
MVM any vs none,ih1,adjusted+site+IPW,mvm2,0,475,29376,"1.6% (475/29,376)"
MVM any vs none,ih1,adjusted+site+IPW,mvm2,1,225,11324,"2.0% (225/11,324)"
AI any vs none,ih1,adjusted+site+IPW,ai,0,519,31820,"1.6% (519/31,820)"
AI any vs none,ih1,adjusted+site+IPW,ai,1,181,8880,"2.0% (181/8,880)"
MVM grade (3-level),ih1,adjusted+IPW,mvm3,High,33,1768,"1.9% (33/1,768)"
MVM grade (3-level),ih1,adjusted+IPW,mvm3,Low,192,9556,"2.0% (192/9,556)"
MVM grade (3-level),ih1,adjusted+IPW,mvm3,None,475,29376,"1.6% (475/29,376)"
AI stage (3-level),ih1,adjusted+IPW,ai3,High,75,4504,"1.7% (75/4,504)"
AI stage (3-level),ih1,adjusted+IPW,ai3,Low,106,4376,"2.4% (106/4,376)"
AI stage (3-level),ih1,adjusted+IPW,ai3,None,519,31820,"1.6% (519/31,820)"
MVM x AI interaction,ih1,adjusted+IPW,mvm2,0,475,29376,"1.6% (475/29,376)"
MVM x AI interaction,ih1,adjusted+IPW,mvm2,1,225,11324,"2.0% (225/11,324)"
MVM x AI interaction,ih1,adjusted+IPW,ai,0,519,31820,"1.6% (519/31,820)"
MVM x AI interaction,ih1,adjusted+IPW,ai,1,181,8880,"2.0% (181/8,880)"
Tumor (possible chorangioma),ih1,adjusted+IPW,chorangioma,0,695,40480,"1.7% (695/40,480)"
Tumor (possible chorangioma),ih1,adjusted+IPW,chorangioma,1,4,66,6.1% (4/66)
MVM any vs none,ih2,crude,mvm2_num,0,627,29376,"2.1% (627/29,376)"
MVM any vs none,ih2,crude,mvm2_num,1,303,11324,"2.7% (303/11,324)"
AI any vs none,ih2,crude,ai_num,0,689,31820,"2.2% (689/31,820)"
AI any vs none,ih2,crude,ai_num,1,241,8880,"2.7% (241/8,880)"
MVM any vs none,ih2,adjusted,mvm2,0,627,29376,"2.1% (627/29,376)"
MVM any vs none,ih2,adjusted,mvm2,1,303,11324,"2.7% (303/11,324)"
AI any vs none,ih2,adjusted,ai,0,689,31820,"2.2% (689/31,820)"
AI any vs none,ih2,adjusted,ai,1,241,8880,"2.7% (241/8,880)"
MVM any vs none,ih2,adjusted+site,mvm2,0,627,29376,"2.1% (627/29,376)"
MVM any vs none,ih2,adjusted+site,mvm2,1,303,11324,"2.7% (303/11,324)"
AI any vs none,ih2,adjusted+site,ai,0,689,31820,"2.2% (689/31,820)"
AI any vs none,ih2,adjusted+site,ai,1,241,8880,"2.7% (241/8,880)"
MVM grade (3-level),ih2,adjusted,mvm3,High,39,1768,"2.2% (39/1,768)"
MVM grade (3-level),ih2,adjusted,mvm3,Low,264,9556,"2.8% (264/9,556)"
MVM grade (3-level),ih2,adjusted,mvm3,None,627,29376,"2.1% (627/29,376)"
AI stage (3-level),ih2,adjusted,ai3,High,103,4504,"2.3% (103/4,504)"
AI stage (3-level),ih2,adjusted,ai3,Low,138,4376,"3.2% (138/4,376)"
AI stage (3-level),ih2,adjusted,ai3,None,689,31820,"2.2% (689/31,820)"
MVM x AI interaction,ih2,adjusted,mvm2,0,627,29376,"2.1% (627/29,376)"
MVM x AI interaction,ih2,adjusted,mvm2,1,303,11324,"2.7% (303/11,324)"
MVM x AI interaction,ih2,adjusted,ai,0,689,31820,"2.2% (689/31,820)"
MVM x AI interaction,ih2,adjusted,ai,1,241,8880,"2.7% (241/8,880)"
Tumor (possible chorangioma),ih2,adjusted,chorangioma,0,920,40480,"2.3% (920/40,480)"
Tumor (possible chorangioma),ih2,adjusted,chorangioma,1,9,66,13.6% (9/66)
MVM any vs none,ih2,adjusted+IPW,mvm2,0,627,29376,"2.1% (627/29,376)"
MVM any vs none,ih2,adjusted+IPW,mvm2,1,303,11324,"2.7% (303/11,324)"
AI any vs none,ih2,adjusted+IPW,ai,0,689,31820,"2.2% (689/31,820)"
AI any vs none,ih2,adjusted+IPW,ai,1,241,8880,"2.7% (241/8,880)"
MVM any vs none,ih2,adjusted+site+IPW,mvm2,0,627,29376,"2.1% (627/29,376)"
MVM any vs none,ih2,adjusted+site+IPW,mvm2,1,303,11324,"2.7% (303/11,324)"
AI any vs none,ih2,adjusted+site+IPW,ai,0,689,31820,"2.2% (689/31,820)"
AI any vs none,ih2,adjusted+site+IPW,ai,1,241,8880,"2.7% (241/8,880)"
MVM grade (3-level),ih2,adjusted+IPW,mvm3,High,39,1768,"2.2% (39/1,768)"
MVM grade (3-level),ih2,adjusted+IPW,mvm3,Low,264,9556,"2.8% (264/9,556)"
MVM grade (3-level),ih2,adjusted+IPW,mvm3,None,627,29376,"2.1% (627/29,376)"
AI stage (3-level),ih2,adjusted+IPW,ai3,High,103,4504,"2.3% (103/4,504)"
AI stage (3-level),ih2,adjusted+IPW,ai3,Low,138,4376,"3.2% (138/4,376)"
AI stage (3-level),ih2,adjusted+IPW,ai3,None,689,31820,"2.2% (689/31,820)"
MVM x AI interaction,ih2,adjusted+IPW,mvm2,0,627,29376,"2.1% (627/29,376)"
MVM x AI interaction,ih2,adjusted+IPW,mvm2,1,303,11324,"2.7% (303/11,324)"
MVM x AI interaction,ih2,adjusted+IPW,ai,0,689,31820,"2.2% (689/31,820)"
MVM x AI interaction,ih2,adjusted+IPW,ai,1,241,8880,"2.7% (241/8,880)"
Tumor (possible chorangioma),ih2,adjusted+IPW,chorangioma,0,920,40480,"2.3% (920/40,480)"
Tumor (possible chorangioma),ih2,adjusted+IPW,chorangioma,1,9,66,13.6% (9/66)
