exposure,model,n_cases,n_obs,rr_ci,rr,lci,uci,n_imps
MVM any vs none,Crude,700,40700,"1.22 (1.05, 1.43)",1.2244430312820036,1.04636739389942,1.4328244033559543,20
MVM any vs none,Secondary: no site + IPW,700,40700,"1.25 (1.07, 1.46)",1.2507103513044455,1.0688999476304257,1.4634450926186606,20
MVM any vs none,Primary: + site + IPW,700,40700,"1.14 (0.96, 1.35)",1.1405066756046487,0.9623001148470063,1.3517149764713177,20
"MVM score, per 1 point (0 to 8)",Crude,700,40700,"1.09 (1.01, 1.18)",1.0920018886086371,1.0087032989891227,1.1821792651217344,20
"MVM score, per 1 point (0 to 8)",Secondary: no site + IPW,700,40700,"1.12 (1.03, 1.21)",1.1178545833565972,1.0316513572392787,1.2112608205889486,20
"MVM score, per 1 point (0 to 8)",Primary: + site + IPW,700,40700,"1.05 (0.97, 1.15)",1.0531336229883546,0.96588703972986,1.148261010085371,20
AI any vs none,Crude,700,40700,"1.25 (1.06, 1.47)",1.247680793731462,1.0554461628272824,1.4749282510785127,20
AI any vs none,Secondary: no site + IPW,700,40700,"1.20 (1.02, 1.42)",1.2030998635189436,1.017315531833314,1.4228125260122968,20
AI any vs none,Primary: + site + IPW,700,40700,"1.14 (0.96, 1.35)",1.137723870345462,0.9615183238710222,1.3462204234887676,20
"AI score, per 1 compartment (0 to 7)",Crude,700,40700,"1.03 (0.98, 1.09)",1.0344459119219713,0.9848090030173442,1.0865846488136066,20
"AI score, per 1 compartment (0 to 7)",Secondary: no site + IPW,700,40700,"1.04 (0.99, 1.09)",1.0387834549446167,0.9881217941216217,1.0920425727740382,20
"AI score, per 1 compartment (0 to 7)",Primary: + site + IPW,700,40700,"1.03 (0.98, 1.08)",1.0290053849561853,0.9774537632210256,1.0832758766814379,20
