analysis,group,ih_pct,flag,Crude,"Secondary: covariates + IPW, no site",Primary: covariates + site + IPW
"3x3 joint (ref: no MVM, no AI)",MVM Low / AI None,"1.8% (131/7,111)",,"1.18 (0.97, 1.44)","1.16 (0.96, 1.42)","1.08 (0.87, 1.32)"
"3x3 joint (ref: no MVM, no AI)",MVM High / AI None,"1.8% (24/1,318)",,"1.17 (0.78, 1.76)","1.26 (0.84, 1.90)","1.09 (0.72, 1.64)"
"3x3 joint (ref: no MVM, no AI)",MVM None / AI Low,"2.2% (68/3,135)",,"1.39 (1.07, 1.80)","1.23 (0.95, 1.59)","1.16 (0.89, 1.50)"
"3x3 joint (ref: no MVM, no AI)",MVM Low / AI Low,"3.2% (34/1,065)",,"2.04 (1.44, 2.88)","1.81 (1.28, 2.57)","1.65 (1.16, 2.34)"
"3x3 joint (ref: no MVM, no AI)",MVM High / AI Low,2.3% (4/176),fewer than 20 cases,"1.46 (0.55, 3.86)","1.36 (0.51, 3.66)","1.17 (0.44, 3.10)"
"3x3 joint (ref: no MVM, no AI)",MVM None / AI High,"1.5% (43/2,850)",,"0.97 (0.71, 1.32)","0.97 (0.71, 1.33)","0.95 (0.69, 1.30)"
"3x3 joint (ref: no MVM, no AI)",MVM Low / AI High,"2.0% (27/1,380)",,"1.26 (0.86, 1.85)","1.38 (0.94, 2.03)","1.17 (0.78, 1.74)"
"3x3 joint (ref: no MVM, no AI)",MVM High / AI High,1.8% (5/274),fewer than 20 cases,"1.16 (0.48, 2.80)","1.50 (0.62, 3.61)","1.10 (0.45, 2.72)"
Mutually adjusted: MVM grade + AI stage,MVM low (adj. for AI stage),NA,,"1.24 (1.05, 1.46)","1.24 (1.05, 1.47)","1.15 (0.96, 1.37)"
Mutually adjusted: MVM grade + AI stage,MVM high (adj. for AI stage),NA,,"1.16 (0.82, 1.64)","1.27 (0.90, 1.80)","1.09 (0.77, 1.55)"
Mutually adjusted: MVM grade + AI stage,AI low (adj. for MVM grade),NA,,"1.47 (1.20, 1.81)","1.31 (1.07, 1.62)","1.26 (1.02, 1.55)"
Mutually adjusted: MVM grade + AI stage,AI high (adj. for MVM grade),NA,,"1.00 (0.79, 1.27)","1.05 (0.83, 1.34)","1.00 (0.78, 1.27)"
