analysis,contrast,model,n_cases,n_obs,rr_ci,rr,lci,uci,n_imps
Mutually adjusted (MVM + AI),MVM any vs none (adjusted for AI),Crude,700,40700,"1.21 (1.03, 1.42)",1.210951347271987,1.0346796438055441,1.4172533249677366,20
Mutually adjusted (MVM + AI),AI any vs none (adjusted for MVM),Crude,700,40700,"1.23 (1.04, 1.46)",1.2327827450082613,1.04267413156674,1.457553467933933,20
Mutually adjusted (MVM + AI),MVM any vs none (adjusted for AI),"Secondary: covariates + IPW, no site",700,40700,"1.24 (1.06, 1.45)",1.2411618205985788,1.060822952130194,1.4521581210306587,20
Mutually adjusted (MVM + AI),AI any vs none (adjusted for MVM),"Secondary: covariates + IPW, no site",700,40700,"1.19 (1.01, 1.41)",1.1897429241632642,1.0061877968522368,1.4067833360976705,20
Mutually adjusted (MVM + AI),MVM any vs none (adjusted for AI),Primary: covariates + site + IPW,700,40700,"1.14 (0.96, 1.35)",1.137311563737698,0.9598368933797639,1.3476014538854757,20
Mutually adjusted (MVM + AI),AI any vs none (adjusted for MVM),Primary: covariates + site + IPW,700,40700,"1.13 (0.96, 1.34)",1.134320326927728,0.9588280293832585,1.34193261424476,20
Joint 4-level exposure,MVM only vs neither,Crude,700,40700,"1.18 (0.98, 1.42)",1.1766394185740692,0.9767753542214845,1.4173989089290553,20
Joint 4-level exposure,AI only vs neither,Crude,700,40700,"1.19 (0.96, 1.47)",1.1884404583690678,0.9620080584156826,1.4681693263718871,20
Joint 4-level exposure,Both vs neither,Crude,700,40700,"1.55 (1.20, 1.99)",1.5496233219389757,1.2048525972907422,1.9930508057972194,20
Joint 4-level exposure,MVM only vs neither,"Secondary: covariates + IPW, no site",700,40700,"1.18 (0.98, 1.42)",1.1780520170784379,0.9776063013677619,1.4195965727726036,20
Joint 4-level exposure,AI only vs neither,"Secondary: covariates + IPW, no site",700,40700,"1.11 (0.90, 1.37)",1.112211325013974,0.9001455636473985,1.3742377693635979,20
Joint 4-level exposure,Both vs neither,"Secondary: covariates + IPW, no site",700,40700,"1.57 (1.22, 2.02)",1.5725734307049712,1.2231279660400831,2.021854837450557,20
Joint 4-level exposure,MVM only vs neither,Primary: covariates + site + IPW,700,40700,"1.08 (0.89, 1.32)",1.0842978274391248,0.8916814889890629,1.3185221327428802,20
Joint 4-level exposure,AI only vs neither,Primary: covariates + site + IPW,700,40700,"1.07 (0.86, 1.32)",1.0656780405957755,0.8622471359726153,1.3171046198106708,20
Joint 4-level exposure,Both vs neither,Primary: covariates + site + IPW,700,40700,"1.37 (1.05, 1.78)",1.3687723166218697,1.0497578961619016,1.7847330909349495,20
