exposure,step,n_cases,n_obs,rr_ci,pct_change_vs_crude,rr,lci,uci
MVM any vs none,1. Crude,700,40700,"1.22 (1.05, 1.43)",+0.0%,1.2244430312820036,1.04636739389942,1.4328244033559543
MVM any vs none,"2. + Demographics (age, race, education, income, marital)",700,40700,"1.25 (1.07, 1.46)",+9.5%,1.2482912564121242,1.067462092733434,1.4597530642468262
MVM any vs none,"3. + Health (BMI, smoking, diabetes, chronic HTN)",700,40700,"1.24 (1.06, 1.45)",+7.5%,1.243080530392571,1.0628820332241957,1.4538294530707654
MVM any vs none,"4. + Reproductive (parity, infant sex) = full, no site",700,40700,"1.26 (1.07, 1.47)",+12.3%,1.2552031988462493,1.0730930910472778,1.4682184458537741
MVM any vs none,5. + Study site = full with site,700,40700,"1.14 (0.96, 1.35)",-36.2%,1.137939239136884,0.9608067504089017,1.3477275335714938
MVM any vs none,"SECONDARY: full, no site, + IPW",700,40700,"1.25 (1.07, 1.46)",+10.5%,1.2507103513044455,1.0688999476304255,1.4634450926186606
MVM any vs none,PRIMARY: full + site + IPW,700,40700,"1.14 (0.96, 1.35)",-35.1%,1.1405066756046487,0.9623001148470063,1.3517149764713179
MVM score (continuous),1. Crude,700,40700,"1.09 (1.01, 1.18)",+0.0%,1.0920018886086371,1.0087032989891227,1.1821792651217344
MVM score (continuous),"2. + Demographics (age, race, education, income, marital)",700,40700,"1.13 (1.04, 1.23)",+39.3%,1.1304447573423295,1.0419007863546759,1.2265134705136345
MVM score (continuous),"3. + Health (BMI, smoking, diabetes, chronic HTN)",700,40700,"1.12 (1.04, 1.22)",+33.4%,1.1245586223381236,1.0367007179090784,1.2198622738736544
MVM score (continuous),"4. + Reproductive (parity, infant sex) = full, no site",700,40700,"1.12 (1.04, 1.22)",+33.5%,1.124668486741957,1.0376780620856505,1.2189514756900002
MVM score (continuous),5. + Study site = full with site,700,40700,"1.06 (0.97, 1.15)",-36.9%,1.0571092367493318,0.969248607930694,1.152934272257072
MVM score (continuous),"SECONDARY: full, no site, + IPW",700,40700,"1.12 (1.03, 1.21)",+26.6%,1.1178545833565972,1.031651357239279,1.2112608205889486
MVM score (continuous),PRIMARY: full + site + IPW,700,40700,"1.05 (0.97, 1.15)",-41.2%,1.0531336229883546,0.96588703972986,1.148261010085371
AI any vs none,1. Crude,700,40700,"1.25 (1.06, 1.47)",+0.0%,1.247680793731462,1.0554461628272824,1.4749282510785127
AI any vs none,"2. + Demographics (age, race, education, income, marital)",700,40700,"1.18 (1.00, 1.40)",-24.2%,1.1825096088748264,1.0006664383076043,1.3973976957259049
AI any vs none,"3. + Health (BMI, smoking, diabetes, chronic HTN)",700,40700,"1.19 (1.01, 1.41)",-21.2%,1.1903967800409134,1.0072316021859165,1.406870565673747
AI any vs none,"4. + Reproductive (parity, infant sex) = full, no site",700,40700,"1.20 (1.01, 1.42)",-18.6%,1.1973967461171795,1.0128695834128554,1.4155415377179859
AI any vs none,5. + Study site = full with site,700,40700,"1.13 (0.96, 1.34)",-44.7%,1.1302234681347876,0.9556753844857251,1.3366516587743167
AI any vs none,"SECONDARY: full, no site, + IPW",700,40700,"1.20 (1.02, 1.42)",-16.4%,1.2030998635189436,1.017315531833314,1.4228125260122968
AI any vs none,PRIMARY: full + site + IPW,700,40700,"1.14 (0.96, 1.35)",-41.7%,1.137723870345462,0.9615183238710222,1.3462204234887676
