exposure,step,n_cases,n_obs,rr_ci,pct_change_vs_crude,rr,lci,uci
MVM any vs none,Crude,700,40700,"1.22 (1.05, 1.43)",+0.0%,1.2244430312820036,1.04636739389942,1.4328244033559543
MVM any vs none,Crude + Maternal age,700,40700,"1.22 (1.04, 1.43)",-1.2%,1.2214623821726651,1.043863407800757,1.4292773747153857
MVM any vs none,Crude + Pre-pregnancy BMI,700,40700,"1.22 (1.04, 1.43)",-0.9%,1.2222937945327368,1.0445590095012858,1.4302706755327614
MVM any vs none,Crude + Race and ethnicity,700,40700,"1.22 (1.05, 1.43)",-0.5%,1.2232071348411164,1.0459090157817044,1.4305600890225985
MVM any vs none,Crude + Education,700,40700,"1.26 (1.08, 1.48)",+15.3%,1.2629155656299698,1.079172871067148,1.4779427547444577
MVM any vs none,Crude + Income,700,40700,"1.25 (1.07, 1.46)",+9.2%,1.2475272577170233,1.066435188354763,1.4593706919479719
MVM any vs none,Crude + Marital status,700,40700,"1.22 (1.04, 1.43)",-1.4%,1.2209994786125948,1.0435324265010502,1.4286472455590036
MVM any vs none,Crude + Smoking,700,40700,"1.22 (1.05, 1.43)",-0.2%,1.2238438393595756,1.0457341696943436,1.4322891864346126
MVM any vs none,Crude + Parity,700,40700,"1.24 (1.06, 1.45)",+7.5%,1.2431434669044181,1.0623600144249357,1.4546911200754078
MVM any vs none,Crude + Pre-pregnancy diabetes,700,40700,"1.22 (1.04, 1.43)",-2.1%,1.2193581739552044,1.0419550959891308,1.4269658664895868
MVM any vs none,Crude + Chronic hypertension,700,40700,"1.22 (1.05, 1.43)",+0.2%,1.224872342006326,1.0466807932160165,1.4334000049835864
MVM any vs none,Crude + Infant sex,700,40700,"1.23 (1.05, 1.44)",+3.2%,1.232398853015303,1.0531908977789406,1.4421003220939577
MVM any vs none,Crude + Study site,700,40700,"1.13 (0.95, 1.34)",-40.5%,1.1279495512012943,0.9529914055807658,1.3350279788513544
MVM score (continuous),Crude,700,40700,"1.09 (1.01, 1.18)",+0.0%,1.0920018886086371,1.0087032989891227,1.1821792651217344
MVM score (continuous),Crude + Maternal age,700,40700,"1.09 (1.01, 1.18)",-0.6%,1.0914007208764631,1.0080221965559875,1.181675897216718
MVM score (continuous),Crude + Pre-pregnancy BMI,700,40700,"1.09 (1.01, 1.18)",-4.5%,1.0877032585958657,1.0050654552506804,1.1771356507969724
MVM score (continuous),Crude + Race and ethnicity,700,40700,"1.12 (1.03, 1.21)",+25.5%,1.1167788968684758,1.029132229783671,1.2118900452208525
MVM score (continuous),Crude + Education,700,40700,"1.12 (1.03, 1.21)",+24.0%,1.1153123977998256,1.0302742833898264,1.2073694983371062
MVM score (continuous),Crude + Income,700,40700,"1.11 (1.02, 1.20)",+16.5%,1.1079276609161774,1.0231554815509398,1.1997235258540506
MVM score (continuous),Crude + Marital status,700,40700,"1.10 (1.01, 1.19)",+3.3%,1.095131252987887,1.0110580833712168,1.1861954134938493
MVM score (continuous),Crude + Smoking,700,40700,"1.09 (1.01, 1.18)",+1.0%,1.0929857996418788,1.0095569570024086,1.183309123802063
MVM score (continuous),Crude + Parity,700,40700,"1.10 (1.02, 1.19)",+6.9%,1.0986860699948526,1.0152720548144238,1.1889533201240092
MVM score (continuous),Crude + Pre-pregnancy diabetes,700,40700,"1.09 (1.01, 1.18)",-1.9%,1.090217542831454,1.006883889346671,1.180448215800408
MVM score (continuous),Crude + Chronic hypertension,700,40700,"1.09 (1.01, 1.18)",+0.3%,1.0923071716622692,1.0089324052749085,1.182571747152602
