step,MVM any vs none,MVM score (continuous),AI any vs none,AI score (continuous)
Crude,"1.22 (1.05, 1.43)","1.09 (1.01, 1.18)","1.25 (1.06, 1.47)","1.03 (0.98, 1.09)"
Crude + Maternal age,"1.22 (1.04, 1.43)","1.09 (1.01, 1.18)","1.24 (1.05, 1.47)","1.03 (0.98, 1.08)"
Crude + Pre-pregnancy BMI,"1.22 (1.04, 1.43)","1.09 (1.01, 1.18)","1.26 (1.07, 1.49)","1.04 (0.99, 1.09)"
Crude + Race and ethnicity,"1.22 (1.05, 1.43)","1.12 (1.03, 1.21)","1.17 (0.99, 1.39)","1.03 (0.98, 1.08)"
Crude + Education,"1.26 (1.08, 1.48)","1.12 (1.03, 1.21)","1.24 (1.05, 1.47)","1.04 (0.99, 1.09)"
Crude + Income,"1.25 (1.07, 1.46)","1.11 (1.02, 1.20)","1.23 (1.04, 1.45)","1.04 (0.99, 1.09)"
Crude + Marital status,"1.22 (1.04, 1.43)","1.10 (1.01, 1.19)","1.25 (1.05, 1.47)","1.04 (0.99, 1.09)"
Crude + Smoking,"1.22 (1.05, 1.43)","1.09 (1.01, 1.18)","1.23 (1.04, 1.46)","1.03 (0.98, 1.08)"
Crude + Parity,"1.24 (1.06, 1.45)","1.10 (1.02, 1.19)","1.25 (1.06, 1.48)","1.03 (0.99, 1.09)"
Crude + Pre-pregnancy diabetes,"1.22 (1.04, 1.43)","1.09 (1.01, 1.18)","1.25 (1.06, 1.48)","1.04 (0.99, 1.09)"
Crude + Chronic hypertension,"1.22 (1.05, 1.43)","1.09 (1.01, 1.18)","1.25 (1.06, 1.47)","1.03 (0.98, 1.09)"
Crude + Infant sex,"1.23 (1.05, 1.44)","1.09 (1.01, 1.18)","1.27 (1.07, 1.50)","1.04 (0.99, 1.09)"
Crude + Study site,"1.13 (0.95, 1.34)","1.06 (0.97, 1.15)","1.10 (0.93, 1.30)","1.02 (0.97, 1.07)"
