site,n_pregnancies,pct_of_sample,died_before_1y,lost_to_fu,observed_ih
5,10575,23.3%,"3.5% (368/10,575)","5.1% (542/10,575)","91.4% (9,665/10,575)"
10,2275,5.0%,"3.1% (71/2,275)","1.0% (22/2,275)","95.9% (2,182/2,275)"
15,2500,5.5%,"4.4% (110/2,500)","2.1% (53/2,500)","93.5% (2,337/2,500)"
31,1881,4.2%,"3.5% (66/1,881)","2.8% (53/1,881)","93.7% (1,762/1,881)"
37,2913,6.4%,"4.6% (135/2,913)","3.8% (111/2,913)","91.6% (2,667/2,913)"
45,2587,5.7%,"4.3% (111/2,587)","6.0% (155/2,587)","89.7% (2,321/2,587)"
50,2783,6.1%,"4.0% (111/2,783)","2.9% (82/2,783)","93.1% (2,590/2,783)"
55,3870,8.5%,"4.1% (158/3,870)","11.6% (449/3,870)","84.3% (3,263/3,870)"
60,2897,6.4%,"4.7% (137/2,897)","4.5% (130/2,897)","90.8% (2,630/2,897)"
66,8208,18.1%,"4.5% (371/8,208)","8.5% (696/8,208)","87.0% (7,141/8,208)"
71,3730,8.2%,"4.4% (165/3,730)","11.2% (418/3,730)","84.4% (3,147/3,730)"
82,1077,2.4%,"3.5% (38/1,077)","2.3% (25/1,077)","94.2% (1,014/1,077)"
All sites,45296,100.0%,"4.1% (1,841/45,296)","6.0% (2,736/45,296)","89.9% (40,719/45,296)"
