site,n_pregnancies,mvm_any,mvm_high_grade,mvm_score_mean,ai_any,ai_low_stage,ai_high_stage
5,10575,"29.8% (3,155/10,575)","3.7% (389/10,575)",0.42 (0.79),"27.7% (2,924/10,574)","17.5% (1,855/10,574)","10.1% (1,069/10,574)"
10,2275,"28.5% (648/2,275)","4.9% (112/2,275)",0.44 (0.86),"20.5% (467/2,275)","10.6% (242/2,275)","9.9% (225/2,275)"
15,2500,"33.1% (828/2,500)","6.2% (156/2,500)",0.53 (0.94),"19.8% (496/2,500)","9.9% (247/2,500)","10.0% (249/2,500)"
31,1881,"33.6% (632/1,881)","6.0% (112/1,881)",0.51 (0.88),"19.4% (364/1,881)","7.8% (146/1,881)","11.6% (218/1,881)"
37,2913,"25.7% (748/2,913)","4.1% (120/2,913)",0.38 (0.78),"15.0% (438/2,913)","8.0% (233/2,913)","7.0% (205/2,913)"
45,2587,"80.3% (2,077/2,587)","21.5% (556/2,587)",1.56 (1.25),"38.1% (986/2,587)","9.4% (244/2,587)","28.7% (742/2,587)"
50,2783,"16.6% (462/2,783)","2.6% (72/2,783)",0.25 (0.69),"23.0% (640/2,782)","10.0% (278/2,782)","13.0% (362/2,782)"
55,3870,"23.0% (889/3,870)","3.5% (136/3,870)",0.34 (0.73),"17.6% (683/3,870)","8.0% (308/3,870)","9.7% (375/3,870)"
60,2897,"20.4% (591/2,897)","3.5% (102/2,897)",0.31 (0.73),"19.9% (577/2,897)","8.4% (243/2,897)","11.5% (334/2,897)"
66,8208,"9.8% (804/8,208)","2.1% (171/8,208)",0.15 (0.54),"17.8% (1,461/8,208)","8.3% (685/8,208)","9.5% (776/8,208)"
71,3730,"42.7% (1,592/3,730)","6.4% (237/3,730)",0.65 (0.95),"26.9% (1,002/3,730)","8.3% (309/3,730)","18.6% (693/3,730)"
82,1077,"65.8% (709/1,077)","9.1% (98/1,077)",0.94 (0.97),"14.5% (156/1,077)","7.2% (78/1,077)","7.2% (78/1,077)"
All sites,45296,"29.0% (13,135/45,296)","5.0% (2,261/45,296)",0.45 (0.87),"22.5% (10,194/45,294)","10.7% (4,868/45,294)","11.8% (5,326/45,294)"
