site,n_pregnancies,white,black,puerto_rican,other,maternal_age,preterm
5,10575,"88.7% (9,381/10,575)","9.7% (1,025/10,575)","0.2% (25/10,575)","1.4% (144/10,575)",25.3 (5.8),"9.6% (1,009/10,546)"
10,2275,"96.5% (2,196/2,275)","2.4% (54/2,275)","0.4% (10/2,275)","0.7% (15/2,275)",26.4 (5.1),"6.0% (137/2,267)"
15,2500,"0.0% (0/2,500)","100.0% (2,500/2,500)","0.0% (0/2,500)","0.0% (0/2,500)",23.9 (6.2),"21.1% (524/2,486)"
31,1881,"29.1% (547/1,881)","40.9% (769/1,881)","28.7% (539/1,881)","1.4% (26/1,881)",25.6 (5.9),"14.4% (271/1,879)"
37,2913,"21.8% (634/2,913)","78.1% (2,274/2,913)","0.0% (1/2,913)","0.1% (4/2,913)",24.2 (7.2),"19.1% (553/2,896)"
45,2587,"22.9% (593/2,587)","76.9% (1,989/2,587)","0.0% (0/2,587)","0.2% (5/2,587)",23.8 (6.4),"16.7% (429/2,565)"
50,2783,"94.8% (2,637/2,783)","0.5% (15/2,783)","0.0% (1/2,783)","4.7% (130/2,783)",23.7 (5.2),"7.7% (212/2,765)"
55,3870,"6.0% (231/3,870)","34.3% (1,326/3,870)","59.5% (2,302/3,870)","0.3% (11/3,870)",23.3 (5.3),"18.3% (703/3,851)"
60,2897,"70.8% (2,052/2,897)","26.9% (780/2,897)","0.0% (0/2,897)","2.2% (65/2,897)",23.5 (5.9),"11.1% (320/2,881)"
66,8208,"8.5% (701/8,208)","87.9% (7,211/8,208)","3.5% (284/8,208)","0.1% (12/8,208)",23.6 (6.1),"22.4% (1,831/8,167)"
71,3730,"76.4% (2,851/3,730)","22.1% (823/3,730)","0.1% (5/3,730)","1.4% (51/3,730)",24.3 (6.1),"10.4% (385/3,697)"
82,1077,"0.4% (4/1,077)","99.6% (1,073/1,077)","0.0% (0/1,077)","0.0% (0/1,077)",21.8 (5.1),"19.4% (208/1,071)"
All sites,45296,"48.2% (21,827/45,296)","43.8% (19,839/45,296)","7.0% (3,167/45,296)","1.0% (463/45,296)",24.3 (6.0),"14.6% (6,582/45,071)"
