exposure,site,n_cases,n_observed,ih_exposed,ih_unexposed,crude_rr
MVM any vs none,5,290,9665,"3.3% (89/2,733)","2.9% (201/6,932)","1.12 (0.88, 1.44)"
MVM any vs none,10,79,2182,3.7% (22/592),"3.6% (57/1,590)","1.04 (0.64, 1.68)"
MVM any vs none,15,24,2337,1.0% (7/732),"1.1% (17/1,605)","0.90 (0.38, 2.17)"
MVM any vs none,31,34,1762,2.1% (12/563),"1.8% (22/1,199)","1.16 (0.58, 2.33)"
MVM any vs none,37,16,2667,0.5% (3/647),"0.6% (13/2,020)","0.72 (0.21, 2.52)"
MVM any vs none,45,48,2321,"2.1% (39/1,846)",1.9% (9/475),"1.12 (0.54, 2.29)"
MVM any vs none,50,77,2590,4.1% (16/388),"2.8% (61/2,202)","1.49 (0.87, 2.55)"
MVM any vs none,55,31,3263,1.0% (7/720),"0.9% (24/2,543)","1.03 (0.45, 2.38)"
MVM any vs none,60,29,2630,2.0% (10/501),"0.9% (19/2,129)","2.24 (1.05, 4.78)"
MVM any vs none,66,31,7141,0.8% (5/608),"0.4% (26/6,533)","2.07 (0.80, 5.36)"
MVM any vs none,71,38,3147,"1.0% (13/1,343)","1.4% (25/1,804)","0.70 (0.36, 1.36)"
MVM any vs none,82,4,1014,0.3% (2/661),0.6% (2/353),"0.53 (0.08, 3.78)"
MVM any vs none,All sites,701,40719,"2.0% (225/11,334)","1.6% (476/29,385)","1.23 (1.05, 1.43)"
AI any vs none,5,290,9664,"3.4% (90/2,611)","2.8% (200/7,053)","1.22 (0.95, 1.55)"
AI any vs none,10,79,2182,3.4% (15/437),"3.7% (64/1,745)","0.94 (0.54, 1.63)"
AI any vs none,15,24,2337,1.1% (5/450),"1.0% (19/1,887)","1.10 (0.41, 2.94)"
AI any vs none,31,34,1762,2.5% (8/320),"1.8% (26/1,442)","1.39 (0.63, 3.03)"
AI any vs none,37,16,2667,0.5% (2/384),"0.6% (14/2,283)","0.85 (0.19, 3.72)"
AI any vs none,45,48,2321,2.2% (19/878),"2.0% (29/1,443)","1.08 (0.61, 1.91)"
AI any vs none,50,77,2590,3.3% (19/579),"2.9% (58/2,011)","1.14 (0.68, 1.89)"
AI any vs none,55,31,3263,1.3% (7/557),"0.9% (24/2,706)","1.42 (0.61, 3.27)"
AI any vs none,60,29,2630,0.6% (3/506),"1.2% (26/2,124)","0.48 (0.15, 1.59)"
AI any vs none,66,31,7141,"0.4% (5/1,192)","0.4% (26/5,949)","0.96 (0.37, 2.49)"
AI any vs none,71,38,3147,0.8% (7/828),"1.3% (31/2,319)","0.63 (0.28, 1.43)"
AI any vs none,82,4,1014,0.7% (1/142),0.3% (3/872),"2.05 (0.21, 19.54)"
AI any vs none,All sites,701,40718,"2.0% (181/8,884)","1.6% (520/31,834)","1.25 (1.05, 1.47)"
