site,n_cases,n_obs,ih_pct,"Primary model, MVM any","Primary model, AI any"
"5 (Boston, reference)",290,9660,"3.0% (290/9,660)",1.00 (ref),1.00 (ref)
10,79,2182,"3.6% (79/2,182)","0.90 (0.69, 1.16)","0.90 (0.69, 1.17)"
15,23,2332,"1.0% (23/2,332)","1.17 (0.68, 2.01)","1.19 (0.69, 2.05)"
31,34,1762,"1.9% (34/1,762)","1.04 (0.70, 1.54)","1.06 (0.71, 1.57)"
37,16,2667,"0.6% (16/2,667)","0.49 (0.28, 0.85)","0.50 (0.29, 0.86)"
45,48,2319,"2.1% (48/2,319)","1.67 (1.14, 2.43)","1.76 (1.22, 2.55)"
50,77,2590,"3.0% (77/2,590)","1.00 (0.77, 1.30)","0.99 (0.76, 1.28)"
55,31,3262,"1.0% (31/3,262)","0.62 (0.36, 1.07)","0.63 (0.37, 1.08)"
60,29,2630,"1.1% (29/2,630)","0.52 (0.35, 0.78)","0.52 (0.35, 0.78)"
66,31,7140,"0.4% (31/7,140)","0.45 (0.29, 0.71)","0.45 (0.29, 0.70)"
71,38,3143,"1.2% (38/3,143)","0.49 (0.35, 0.69)","0.50 (0.36, 0.71)"
82,4,1013,"0.4% (4/1,013)","0.44 (0.16, 1.23)","0.47 (0.17, 1.32)"
